Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,FrameIndex
148,0.0992,131,118,0.0615,65,61,0.1429,14,12,0.0,2,2,0.0,6,6,0.6,20,8,74
150,0.1069,131,117,0.0769,65,60,0.1429,14,12,0.0,2,2,0.0,6,6,0.6,20,8,75
152,0.1221,131,115,0.0769,65,60,0.1429,14,12,0.0,2,2,0.0,6,6,0.65,20,7,76
154,0.1298,131,114,0.0923,65,59,0.1429,14,12,0.0,2,2,0.0,6,6,0.65,20,7,77
156,0.1298,131,114,0.0923,65,59,0.1429,14,12,0.0,2,2,0.0,6,6,0.65,20,7,78
158,0.1374,131,113,0.1077,65,58,0.2143,14,11,0.0,2,2,0.0,6,6,0.65,20,7,79
160,0.1374,131,113,0.1231,65,57,0.2143,14,11,0.0,2,2,0.0,6,6,0.65,20,7,80
162,0.1374,131,113,0.1231,65,57,0.2143,14,11,0.0,2,2,0.0,6,6,0.65,20,7,81
164,0.1374,131,113,0.1231,65,57,0.2857,14,10,0.0,2,2,0.0,6,6,0.65,20,7,82
166,0.1374,131,113,0.1385,65,56,0.2857,14,10,0.0,2,2,0.0,6,6,0.65,20,7,83
168,0.145,131,112,0.1385,65,56,0.2857,14,10,0.0,2,2,0.0,6,6,0.65,20,7,84
170,0.145,131,112,0.1385,65,56,0.3571,14,9,0.0,2,2,0.1667,6,5,0.65,20,7,85
172,0.1527,131,111,0.1385,65,56,0.4286,14,8,0.0,2,2,0.1667,6,5,0.7,20,6,86
174,0.1679,131,109,0.1538,65,55,0.4286,14,8,0.0,2,2,0.1667,6,5,0.7,20,6,87
176,0.1679,131,109,0.1692,65,54,0.4286,14,8,0.0,2,2,0.1667,6,5,0.7,20,6,88
178,0.1756,131,108,0.1692,65,54,0.4286,14,8,0.0,2,2,0.1667,6,5,0.7,20,6,89
180,0.1756,131,108,0.1692,65,54,0.4286,14,8,0.0,2,2,0.3333,6,4,0.7,20,6,90
182,0.1756,131,108,0.1846,65,53,0.4286,14,8,0.0,2,2,0.3333,6,4,0.7,20,6,91
184,0.1832,131,107,0.2154,65,51,0.4286,14,8,0.0,2,2,0.3333,6,4,0.7,20,6,92
186,0.1985,131,105,0.2154,65,51,0.4286,14,8,0.0,2,2,0.3333,6,4,0.7,20,6,93
188,0.1985,131,105,0.2154,65,51,0.4286,14,8,0.0,2,2,0.3333,6,4,0.7,20,6,94
190,0.2137,131,103,0.2154,65,51,0.4286,14,8,0.0,2,2,0.3333,6,4,0.7,20,6,95
192,0.2137,131,103,0.2154,65,51,0.4286,14,8,0.0,2,2,0.3333,6,4,0.7,20,6,96
194,0.229,131,101,0.2462,65,49,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,97
196,0.229,131,101,0.2462,65,49,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,98
198,0.229,131,101,0.2769,65,47,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,99
200,0.229,131,101,0.2769,65,47,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,100
202,0.2443,131,99,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,101
204,0.2443,131,99,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,102
206,0.2443,131,99,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,103
208,0.2443,131,99,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,104
210,0.2519,131,98,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,105
212,0.2595,131,97,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,106
214,0.2672,131,96,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,107
216,0.2748,131,95,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,108
218,0.2748,131,95,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,109
220,0.2824,131,94,0.2923,65,46,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,110
222,0.2901,131,93,0.3385,65,43,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,111
224,0.2977,131,92,0.3385,65,43,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,112
226,0.313,131,90,0.3538,65,42,0.5,14,7,0.0,2,2,0.3333,6,4,0.7,20,6,113
228,0.313,131,90,0.3538,65,42,0.5714,14,6,0.0,2,2,0.3333,6,4,0.7,20,6,114
230,0.3206,131,89,0.3538,65,42,0.5714,14,6,0.0,2,2,0.3333,6,4,0.75,20,5,115
