FrameIndex,Frame,Class_0,Class_0_pos,Class_0_total,Class_1,Class_1_pos,Class_1_total,Class_2,Class_2_pos,Class_2_total,Class_3,Class_3_pos,Class_3_total,Class_4,Class_4_pos,Class_4_total,Class_5,Class_5_pos,Class_5_total
68,136,0.05335968379446643,479,506,0.041984732824427495,251,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5476190476190477,38,84
69,138,0.059288537549407105,476,506,0.04961832061068705,249,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5476190476190477,38,84
70,140,0.06719367588932801,472,506,0.04961832061068705,249,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5595238095238095,37,84
71,142,0.06719367588932801,472,506,0.04961832061068705,249,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5714285714285714,36,84
72,144,0.0731225296442688,469,506,0.04961832061068705,249,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5714285714285714,36,84
73,146,0.07707509881422925,467,506,0.05343511450381677,248,262,0.09230769230769231,59,65,0.07692307692307687,12,13,0.0,21,21,0.5714285714285714,36,84
74,148,0.07707509881422925,467,506,0.057251908396946605,247,262,0.09230769230769231,59,65,0.07692307692307687,12,13,0.0,21,21,0.5833333333333333,35,84
75,150,0.0810276679841897,465,506,0.06106870229007633,246,262,0.09230769230769231,59,65,0.07692307692307687,12,13,0.0,21,21,0.5833333333333333,35,84
76,152,0.08893280632411071,461,506,0.06106870229007633,246,262,0.10769230769230764,58,65,0.07692307692307687,12,13,0.0,21,21,0.5952380952380952,34,84
77,154,0.09683794466403162,457,506,0.0725190839694656,243,262,0.10769230769230764,58,65,0.07692307692307687,12,13,0.0,21,21,0.5952380952380952,34,84
78,156,0.1027667984189723,454,506,0.0725190839694656,243,262,0.12307692307692308,57,65,0.07692307692307687,12,13,0.0,21,21,0.5952380952380952,34,84
79,158,0.10474308300395252,453,506,0.08015267175572516,241,262,0.1384615384615384,56,65,0.07692307692307687,12,13,0.0,21,21,0.5952380952380952,34,84
80,160,0.10869565217391308,451,506,0.08778625954198471,239,262,0.1384615384615384,56,65,0.07692307692307687,12,13,0.0,21,21,0.5952380952380952,34,84
81,162,0.11264822134387353,449,506,0.09160305343511455,238,262,0.15384615384615385,55,65,0.07692307692307687,12,13,0.0,21,21,0.5952380952380952,34,84
82,164,0.11857707509881421,446,506,0.09160305343511455,238,262,0.16923076923076918,54,65,0.07692307692307687,12,13,0.0,21,21,0.5952380952380952,34,84
83,166,0.12055335968379444,445,506,0.0992366412213741,236,262,0.16923076923076918,54,65,0.07692307692307687,12,13,0.0,21,21,0.5952380952380952,34,84
84,168,0.12648221343873522,442,506,0.0992366412213741,236,262,0.18461538461538463,53,65,0.07692307692307687,12,13,0.0,21,21,0.5952380952380952,34,84
85,170,0.1324110671936759,439,506,0.0992366412213741,236,262,0.2153846153846154,51,65,0.07692307692307687,12,13,0.04761904761904767,20,21,0.5952380952380952,34,84
86,172,0.13636363636363635,437,506,0.1145038167938931,232,262,0.23076923076923073,50,65,0.07692307692307687,12,13,0.04761904761904767,20,21,0.6190476190476191,32,84
87,174,0.14426877470355737,433,506,0.12213740458015265,230,262,0.23076923076923073,50,65,0.07692307692307687,12,13,0.04761904761904767,20,21,0.6190476190476191,32,84
88,176,0.15612648221343872,427,506,0.13740458015267176,226,262,0.23076923076923073,50,65,0.07692307692307687,12,13,0.04761904761904767,20,21,0.6190476190476191,32,84
89,178,0.15810276679841895,426,506,0.14503816793893132,224,262,0.23076923076923073,50,65,0.07692307692307687,12,13,0.04761904761904767,20,21,0.6190476190476191,32,84
90,180,0.16403162055335974,423,506,0.15267175572519087,222,262,0.23076923076923073,50,65,0.07692307692307687,12,13,0.09523809523809523,19,21,0.6190476190476191,32,84
91,182,0.16600790513833996,422,506,0.1564885496183206,221,262,0.23076923076923073,50,65,0.07692307692307687,12,13,0.09523809523809523,19,21,0.6190476190476191,32,84
92,184,0.17391304347826086,418,506,0.16793893129770987,218,262,0.23076923076923073,50,65,0.07692307692307687,12,13,0.09523809523809523,19,21,0.6309523809523809,31,84
93,186,0.18181818181818177,414,506,0.17557251908396942,216,262,0.23076923076923073,50,65,0.07692307692307687,12,13,0.09523809523809523,19,21,0.6428571428571428,30,84
94,188,0.18972332015810278,410,506,0.18320610687022898,214,262,0.24615384615384617,49,65,0.07692307692307687,12,13,0.09523809523809523,19,21,0.6547619047619048,29,84
95,190,0.19367588932806323,408,506,0.19465648854961837,211,262,0.2615384615384615,48,65,0.07692307692307687,12,13,0.09523809523809523,19,21,0.6547619047619048,29,84
96,192,0.19565217391304346,407,506,0.19465648854961837,211,262,0.2615384615384615,48,65,0.07692307692307687,12,13,0.09523809523809523,19,21,0.6547619047619048,29,84
97,194,0.1996047430830039,405,506,0.20992366412213737,207,262,0.27692307692307694,47,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.6547619047619048,29,84
98,196,0.20948616600790515,400,506,0.21755725190839692,205,262,0.27692307692307694,47,65,0.15384615384615385,11,13,0.09523809523809523,19,21,0.6666666666666667,28,84
