CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
42.0,semi_sickled,400,401.0,100.0,100.25,0.25,completed,0.014919578569727796,0.022080588678363714,0.024461140235265095,0.011752002368060252,0.004630247848884513,0.0035451253255208335,6,0.03,0,0.6381111145019531
49.0,final_sickled,197,240.0,49.25,60.0,10.75,completed,0.02573841077390357,0.05444197618635372,0.04377551943374177,0.019507651589304696,0.006353428331446291,0.004740397135416667,6,0.03,0,0.7771674990653992
51.0,final_sickled,102,103.0,25.5,25.75,0.25,completed,0.010499746201094241,0.021236357756424698,0.018255238731702168,0.006463240832090378,0.004218750478078921,0.003265380859375,6,0.03,0,0.9665883183479309
52.0,final_sickled,452,457.0,113.0,114.25,1.25,completed,0.016720001633511856,0.04315835958113894,0.02812952548265457,0.011851202067919075,0.006485017295926809,0.0040771484375,6,0.03,0,0.5498539209365845
53.0,final_sickled,288,289.0,72.0,72.25,0.25,completed,0.010494204847620696,0.01875225365317116,,0.014782589937870702,0.004484674932124714,0.004496256510416667,6,0.03,0,0.718532919883728
54.0,semi_sickled,266,272.0,66.5,68.0,1.5,completed,0.017773857707917076,0.04516654340550304,0.0327230610630729,0.010537959665684453,0.0039812994390641425,0.003989479758522727,6,0.03,0,0.5976550579071045
58.0,final_sickled,281,282.0,70.25,70.5,0.25,completed,0.009833158114148925,0.019196179299615323,0.008950356083611647,0.014591925467054049,0.004909531989445289,0.0042572021484375,6,0.03,0,0.9000717401504517
60.0,final_sickled,171,184.0,42.75,46.0,3.25,completed,0.037135571091413216,0.24399928627535702,0.06636931167708503,0.0265319023520634,0.006763203350904708,0.003650241427951389,6,0.03,0,0.8266794085502625
61.0,final_sickled,197,198.0,49.25,49.5,0.25,completed,0.009876076052023565,0.021194648556411268,0.016690804933508236,0.006660205273268123,0.0029211375513114035,0.0040283203125,6,0.03,0,0.725291907787323
62.0,final_sickled,226,227.0,56.5,56.75,0.25,completed,0.01557188357352667,0.029243655700702222,0.022838904211918514,0.015050253830850124,0.0050977484982771175,0.004252115885416667,6,0.03,0,0.851974368095398
