Video,CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,ScoreMode,MinDurationSec,EndpointSubtypeProb
V1,59.0,semi_sickled,223,224.0,55.75,56.0,0.25,completed,0.014207993822249895,0.02509289513109252,0.024049847076336544,0.00987122537723432,0.003922796963403623,0.0051422119140625,6,0.05,probability,0,0.7744695544242859
V1,62.0,final_sickled,194,214.0,48.5,53.5,5.0,completed,0.020546468763670417,0.05018812789348885,0.03559708297252655,0.015043146540410817,0.0044962801435031,0.003843994140625,6,0.05,probability,0,0.7942022085189819
V1,64.0,final_sickled,156,163.0,39.0,40.75,1.75,completed,0.016000651157446557,0.030321524443570527,0.029560980076591175,0.008948069182224572,0.004027069473522715,0.004328409830729167,6,0.05,probability,0,0.6508640050888062
V1,66.0,final_sickled,131,132.0,32.75,33.0,0.25,completed,0.008017069573543268,0.015952971880324185,0.013932411248485247,0.005107715531873207,0.002163875450302536,0.0030873616536458335,6,0.05,probability,0,0.9426838755607605
V1,67.0,final_sickled,211,255.0,52.75,63.75,11.0,completed,0.05175670182537089,0.1336129116360098,0.09432828958545413,0.03432878072026699,0.008894678052753562,0.007187823860012755,6,0.05,probability,0,0.6755694150924683
V1,76.0,semi_sickled,175,180.0,43.75,45.0,1.25,completed,0.023742803289787846,0.05973589360364713,0.04292316883802414,0.015219164220616222,0.005335954343900084,0.004638671875,6,0.05,probability,0,0.6030024290084839
V1,78.0,final_sickled,125,128.0,31.25,32.0,0.75,completed,0.015306884072742832,0.030353385070338846,0.026406201999634504,0.010513970104511827,0.003839291042822879,0.00467681884765625,6,0.05,probability,0,0.940570056438446
V1,80.0,semi_sickled,302,303.0,75.5,75.75,0.25,completed,0.009162931367366884,0.014394915394950657,0.013587200393279394,0.007986176409758627,0.003709453623741865,0.003753662109375,6,0.05,probability,0,0.5505404472351074
V1,82.0,final_sickled,135,141.0,33.75,35.25,1.5,completed,0.014253878706420602,0.03526767396833748,0.022361596876924687,0.012109692547131668,0.005487279447896237,0.003079501065340909,6,0.05,probability,0,0.928624153137207
V1,84.0,semi_sickled,183,201.0,45.75,50.25,4.5,completed,0.018281871138732756,0.06657031822251155,0.03380315848018812,0.01061024848351498,0.004308040370233357,0.004068125849184783,6,0.05,probability,0,0.7977811098098755
V1,85.0,semi_sickled,215,225.0,53.75,56.25,2.5,completed,0.020642016279452943,0.049146226188167934,0.0382729172706604,0.011482030696546039,0.006000576467098047,0.0045125325520833336,6,0.05,probability,0,0.7200735211372375
V1,87.0,semi_sickled,218,230.0,54.5,57.5,3.0,completed,0.02053262472139014,0.041509391978615896,0.03655078393571517,0.013231363003690015,0.005516857853816713,0.004733814912683824,6,0.05,probability,0,0.5040217638015747
V1,88.0,final_sickled,145,154.0,36.25,38.5,2.25,completed,0.020682688098930247,0.045355809619650245,0.04220975562930107,0.013212424162442662,0.004428158905024507,0.004832676478794643,6,0.05,probability,0,0.758594274520874
V1,91.0,semi_sickled,335,336.0,83.75,84.0,0.25,completed,0.012506337663702044,0.01936885343166068,0.017259834955135982,0.012505302942978839,0.005089415392527978,0.0047149658203125,6,0.05,probability,0,0.5678059458732605
