Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,Class_6,Class_6_total,Class_6_pos,FrameIndex
282,0.4342,76,43,0.4844,64,33,0.5652,46,20,0.7778,9,2,0.0,4,4,0.1667,6,5,0.7222,18,5,141
284,0.4342,76,43,0.4844,64,33,0.587,46,19,0.7778,9,2,0.0,4,4,0.1667,6,5,0.7222,18,5,142
286,0.4474,76,42,0.5,64,32,0.587,46,19,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7222,18,5,143
288,0.4474,76,42,0.5,64,32,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7222,18,5,144
290,0.4474,76,42,0.5,64,32,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7222,18,5,145
292,0.4474,76,42,0.5,64,32,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7222,18,5,146
294,0.4474,76,42,0.5,64,32,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7222,18,5,147
296,0.4474,76,42,0.5,64,32,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7222,18,5,148
298,0.4474,76,42,0.5,64,32,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7222,18,5,149
300,0.4605,76,41,0.5156,64,31,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7222,18,5,150
302,0.4605,76,41,0.5156,64,31,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7222,18,5,151
304,0.4737,76,40,0.5156,64,31,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,152
306,0.4737,76,40,0.5156,64,31,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,153
308,0.4868,76,39,0.5156,64,31,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,154
310,0.4868,76,39,0.5312,64,30,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,155
312,0.4868,76,39,0.5312,64,30,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,156
314,0.4868,76,39,0.5469,64,29,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,157
316,0.4868,76,39,0.5469,64,29,0.6087,46,18,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,158
318,0.4868,76,39,0.5469,64,29,0.6304,46,17,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,159
320,0.4868,76,39,0.5625,64,28,0.6304,46,17,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,160
322,0.5,76,38,0.5625,64,28,0.6304,46,17,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,161
324,0.5,76,38,0.5625,64,28,0.6304,46,17,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,162
326,0.5,76,38,0.5625,64,28,0.6522,46,16,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,163
328,0.5,76,38,0.5625,64,28,0.6522,46,16,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,164
330,0.5,76,38,0.5625,64,28,0.6522,46,16,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,165
332,0.5,76,38,0.5625,64,28,0.6522,46,16,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,166
334,0.5,76,38,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,167
336,0.5,76,38,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,168
338,0.5,76,38,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,169
340,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,170
342,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,171
344,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,172
346,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.1667,6,5,0.7778,18,4,173
348,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,174
350,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,175
352,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,176
354,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,177
356,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,178
358,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,179
360,0.5132,76,37,0.5625,64,28,0.6739,46,15,0.7778,9,2,0.25,4,3,0.3333,6,4,0.7778,18,4,180
