Time_sec,Semi_sickled_fraction_percent,Final_sickled_fraction_percent,Total_sickled_fraction_percent
35.75,1.1811023622047243,4.330708661417323,5.511811023622047
36.0,1.1811023622047243,4.330708661417323,5.511811023622047
36.25,1.1811023622047243,4.330708661417323,5.511811023622047
36.5,1.1811023622047243,4.330708661417323,5.511811023622047
36.75,1.1811023622047243,4.330708661417323,5.511811023622047
37.0,1.1811023622047243,4.330708661417323,5.511811023622047
37.25,1.1811023622047243,4.330708661417323,5.511811023622047
37.5,1.1811023622047243,4.724409448818897,5.905511811023622
37.75,1.1811023622047243,4.724409448818897,5.905511811023622
38.0,1.1811023622047243,4.724409448818897,5.905511811023622
38.25,1.1811023622047243,5.118110236220472,6.299212598425196
38.5,1.1811023622047243,5.511811023622047,6.692913385826772
38.75,1.1811023622047243,5.905511811023622,7.086614173228346
39.0,1.1811023622047243,5.905511811023622,7.086614173228346
39.25,1.1811023622047243,5.905511811023622,7.086614173228346
39.5,1.1811023622047243,6.299212598425196,7.480314960629922
39.75,1.1811023622047243,6.299212598425196,7.480314960629922
40.0,1.1811023622047243,6.299212598425196,7.480314960629922
40.25,1.1811023622047243,6.692913385826772,7.874015748031496
40.5,1.1811023622047243,7.086614173228346,8.267716535433072
40.75,1.1811023622047243,7.086614173228346,8.267716535433072
41.0,1.1811023622047243,7.086614173228346,8.267716535433072
41.25,1.1811023622047243,7.480314960629922,8.661417322834646
41.5,1.1811023622047243,7.480314960629922,8.661417322834646
41.75,1.1811023622047243,7.480314960629922,8.661417322834646
42.0,1.1811023622047243,7.480314960629922,8.661417322834646
42.25,1.1811023622047243,7.480314960629922,8.661417322834646
42.5,1.1811023622047243,7.874015748031496,9.05511811023622
42.75,1.1811023622047243,8.267716535433072,9.448818897637794
43.0,1.1811023622047243,8.267716535433072,9.448818897637794
43.25,1.1811023622047243,8.267716535433072,9.448818897637794
43.5,1.1811023622047243,8.267716535433072,9.448818897637794
43.75,1.1811023622047243,8.661417322834646,9.84251968503937
44.0,1.1811023622047243,8.661417322834646,9.84251968503937
44.25,1.574803149606299,8.661417322834646,10.236220472440944
44.5,1.574803149606299,8.661417322834646,10.236220472440944
44.75,1.574803149606299,8.661417322834646,10.236220472440944
45.0,1.574803149606299,9.05511811023622,10.62992125984252
45.25,1.574803149606299,9.05511811023622,10.62992125984252
45.5,1.574803149606299,9.05511811023622,10.62992125984252
45.75,1.574803149606299,9.05511811023622,10.62992125984252
46.0,1.574803149606299,9.448818897637794,11.023622047244094
46.25,1.574803149606299,9.448818897637794,11.023622047244094
46.5,1.968503937007874,9.448818897637794,11.41732283464567
46.75,1.968503937007874,9.84251968503937,11.811023622047244
47.0,1.968503937007874,9.84251968503937,11.811023622047244
47.25,1.968503937007874,9.84251968503937,11.811023622047244
47.5,1.968503937007874,9.84251968503937,11.811023622047244
47.75,1.968503937007874,9.84251968503937,11.811023622047244
48.0,1.968503937007874,9.84251968503937,11.811023622047244
48.25,1.968503937007874,9.84251968503937,11.811023622047244
48.5,2.3622047244094486,10.236220472440944,12.598425196850393
48.75,2.3622047244094486,10.236220472440944,12.598425196850393
49.0,2.7559055118110236,11.023622047244094,13.779527559055119
49.25,2.7559055118110236,11.811023622047244,14.566929133858267
49.5,2.7559055118110236,12.204724409448819,14.960629921259844
49.75,2.7559055118110236,13.385826771653544,16.141732283464567
50.0,2.7559055118110236,13.385826771653544,16.141732283464567
50.25,3.149606299212598,13.779527559055119,16.92913385826772
50.5,3.149606299212598,13.779527559055119,16.92913385826772
50.75,3.149606299212598,13.779527559055119,16.92913385826772
