CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
39.0,final_sickled,149,150.0,37.25,37.5,0.25,completed,0.01968394706816199,6,0.05,0,0.6597968339920044
41.0,semi_sickled,285,286.0,71.25,71.5,0.25,completed,0.023427187632963375,6,0.05,0,0.8666437864303589
42.0,final_sickled,237,238.0,59.25,59.5,0.25,completed,0.014329494444731002,6,0.05,0,0.5483647584915161
44.0,final_sickled,190,191.0,47.5,47.75,0.25,completed,0.013443470687343508,6,0.05,0,0.8340429067611694
45.0,final_sickled,287,288.0,71.75,72.0,0.25,completed,0.010694266534604443,6,0.05,0,0.7053924798965454
48.0,semi_sickled,183,184.0,45.75,46.0,0.25,completed,0.014853895505560407,6,0.05,0,0.7557913661003113
51.0,final_sickled,94,95.0,23.5,23.75,0.25,completed,0.01494671457427709,6,0.05,0,0.9559585452079773
52.0,final_sickled,199,205.0,49.75,51.25,1.5,completed,0.023245456572410395,6,0.05,0,0.6990560293197632
53.0,final_sickled,100,101.0,25.0,25.25,0.25,completed,0.005371965790012231,6,0.05,0,0.9170433282852173
54.0,semi_sickled,306,307.0,76.5,76.75,0.25,completed,0.0157884124336609,6,0.05,0,0.5780118107795715
55.0,semi_sickled,225,226.0,56.25,56.5,0.25,completed,0.015386114726425149,6,0.05,0,0.7992895245552063
57.0,final_sickled,104,105.0,26.0,26.25,0.25,completed,0.006807065020014609,6,0.05,0,0.9695640802383423
59.0,semi_sickled,223,224.0,55.75,56.0,0.25,completed,0.014207993822249895,6,0.05,0,0.7744695544242859
62.0,final_sickled,194,195.0,48.5,48.75,0.25,completed,0.016567073522795305,6,0.05,0,0.7942022085189819
64.0,final_sickled,155,156.0,38.75,39.0,0.25,completed,0.017665783004486003,6,0.05,0,0.6508640050888062
66.0,final_sickled,131,132.0,32.75,33.0,0.25,completed,0.008017069573543268,6,0.05,0,0.9426838755607605
67.0,final_sickled,211,212.0,52.75,53.0,0.25,completed,0.018484615989533874,6,0.05,0,0.6755694150924683
76.0,semi_sickled,175,180.0,43.75,45.0,1.25,completed,0.023742803289787846,6,0.05,0,0.6030024290084839
78.0,final_sickled,125,126.0,31.25,31.5,0.25,completed,0.018184708498059383,6,0.05,0,0.940570056438446
80.0,semi_sickled,300,301.0,75.0,75.25,0.25,completed,0.007371940557398677,6,0.05,0,0.5505404472351074
82.0,final_sickled,135,136.0,33.75,34.0,0.25,completed,0.020535344589249386,6,0.05,0,0.928624153137207
84.0,semi_sickled,183,184.0,45.75,46.0,0.25,completed,0.012986174631805623,6,0.05,0,0.7977811098098755
85.0,semi_sickled,215,216.0,53.75,54.0,0.25,completed,0.02924542369437404,6,0.05,0,0.7200735211372375
87.0,semi_sickled,218,219.0,54.5,54.75,0.25,completed,0.024400188034633175,6,0.05,0,0.5040217638015747
88.0,final_sickled,145,146.0,36.25,36.5,0.25,completed,0.015536984079598271,6,0.05,0,0.758594274520874
91.0,semi_sickled,334,335.0,83.5,83.75,0.25,completed,0.012561176389378184,6,0.05,0,0.5678059458732605
92.0,semi_sickled,174,176.0,43.5,44.0,0.5,completed,0.023426257091757312,6,0.05,0,0.6933088898658752
93.0,final_sickled,81,82.0,20.25,20.5,0.25,completed,0.006612122690178998,6,0.05,0,0.9815017580986023
98.0,final_sickled,172,173.0,43.0,43.25,0.25,completed,0.02051608402398415,6,0.05,0,0.7553456425666809
99.0,semi_sickled,301,302.0,75.25,75.5,0.25,completed,0.017185055156975677,6,0.05,0,0.687125563621521
100.0,semi_sickled,186,187.0,46.5,46.75,0.25,completed,0.017666018145973798,6,0.05,0,0.5049704313278198
102.0,semi_sickled,300,301.0,75.0,75.25,0.25,completed,0.012184027111410008,6,0.05,0,0.7661033868789673
104.0,semi_sickled,185,186.0,46.25,46.5,0.25,completed,0.017400817622547037,6,0.05,0,0.8567191958427429
107.0,final_sickled,149,151.0,37.25,37.75,0.5,completed,0.02689693383955663,6,0.05,0,0.6614300012588501
109.0,semi_sickled,216,217.0,54.0,54.25,0.25,completed,0.008816226671721475,6,0.05,0,0.5150554180145264
110.0,semi_sickled,382,383.0,95.5,95.75,0.25,completed,0.014058242299749205,6,0.05,0,0.7816067934036255
113.0,semi_sickled,203,204.0,50.75,51.0,0.25,completed,0.01555929113237653,6,0.05,0,0.6781724095344543
114.0,final_sickled,143,154.0,35.75,38.5,2.75,completed,0.03371397498722217,6,0.05,0,0.7740210294723511
116.0,final_sickled,172,173.0,43.0,43.25,0.25,completed,0.02414159569998446,6,0.05,0,0.5116389393806458
118.0,final_sickled,121,122.0,30.25,30.5,0.25,completed,0.030365699005293817,6,0.05,0,0.7331511378288269
120.0,final_sickled,280,281.0,70.0,70.25,0.25,completed,0.006564765298632362,6,0.05,0,0.6510430574417114
121.0,final_sickled,193,194.0,48.25,48.5,0.25,completed,0.021702546332380737,6,0.05,0,0.681361973285675
122.0,final_sickled,222,226.0,55.5,56.5,1.0,completed,0.023324969689646324,6,0.05,0,0.5286591053009033
124.0,final_sickled,180,181.0,45.0,45.25,0.25,completed,0.015572880103961023,6,0.05,0,0.7001221179962158
125.0,semi_sickled,324,325.0,81.0,81.25,0.25,completed,0.013531912032825251,6,0.05,0,0.5507200360298157
126.0,semi_sickled,423,424.0,105.75,106.0,0.25,completed,0.024043012407734446,6,0.05,0,0.8563207387924194
127.0,final_sickled,272,273.0,68.0,68.25,0.25,completed,0.017704007009160704,6,0.05,0,0.7314690947532654
128.0,final_sickled,289,290.0,72.25,72.5,0.25,completed,0.01615369724944079,6,0.05,0,0.6341887712478638
131.0,semi_sickled,405,411.0,101.25,102.75,1.5,completed,0.025374814443586566,6,0.05,0,0.8080894351005554
132.0,final_sickled,242,243.0,60.5,60.75,0.25,completed,0.015767454128945247,6,0.05,0,0.8590661883354187
133.0,final_sickled,152,159.0,38.0,39.75,1.75,completed,0.024746092589096713,6,0.05,0,0.5242940783500671
134.0,final_sickled,195,203.0,48.75,50.75,2.0,completed,0.042579371150350195,6,0.05,0,0.9480803608894348
135.0,final_sickled,104,105.0,26.0,26.25,0.25,completed,0.007431409853112805,6,0.05,0,0.9483075141906738
138.0,final_sickled,307,308.0,76.75,77.0,0.25,completed,0.01256262020857927,6,0.05,0,0.7671829462051392
139.0,semi_sickled,256,257.0,64.0,64.25,0.25,completed,0.026142441883954842,6,0.05,0,0.7134935259819031
140.0,final_sickled,165,166.0,41.25,41.5,0.25,completed,0.01179801963104789,6,0.05,0,0.717703104019165
141.0,final_sickled,99,101.0,24.75,25.25,0.5,completed,0.022588579394921128,6,0.05,0,0.9513785243034363
143.0,semi_sickled,219,220.0,54.75,55.0,0.25,completed,0.022172206069808454,6,0.05,0,0.5861836671829224
145.0,final_sickled,153,154.0,38.25,38.5,0.25,completed,0.011156727523969796,6,0.05,0,0.8561508059501648
148.0,final_sickled,100,101.0,25.0,25.25,0.25,completed,0.008561963103905631,6,0.05,0,0.9202272295951843
149.0,semi_sickled,156,157.0,39.0,39.25,0.25,completed,0.019091383989386184,6,0.05,0,0.5464985966682434
151.0,semi_sickled,180,181.0,45.0,45.25,0.25,completed,0.022709327819757163,6,0.05,0,0.5994870662689209
152.0,semi_sickled,325,326.0,81.25,81.5,0.25,completed,0.012920863696490417,6,0.05,0,0.6997112035751343
153.0,semi_sickled,188,189.0,47.0,47.25,0.25,completed,0.019414873200973185,6,0.05,0,0.8184589147567749
155.0,final_sickled,133,134.0,33.25,33.5,0.25,completed,0.014849582679711181,6,0.05,0,0.7189416885375977
156.0,final_sickled,136,137.0,34.0,34.25,0.25,completed,0.016000686114421115,6,0.05,0,0.872340202331543
159.0,final_sickled,269,291.0,67.25,72.75,5.5,completed,0.030016971857198597,6,0.05,0,0.5773954391479492
161.0,semi_sickled,209,220.0,52.25,55.0,2.75,completed,0.027786142868990282,6,0.05,0,0.7583193182945251
162.0,final_sickled,93,94.0,23.25,23.5,0.25,completed,0.012096022646680164,6,0.05,0,0.9659676551818848
163.0,semi_sickled,170,176.0,42.5,44.0,1.5,completed,0.0317885967140848,6,0.05,0,0.6554588079452515
164.0,final_sickled,256,257.0,64.0,64.25,0.25,completed,0.020741249583079477,6,0.05,0,0.5615451335906982
165.0,final_sickled,112,113.0,28.0,28.25,0.25,completed,0.011074096452405988,6,0.05,0,0.8591253161430359
166.0,final_sickled,151,152.0,37.75,38.0,0.25,completed,0.029272040008800102,6,0.05,0,0.8327919840812683
168.0,semi_sickled,184,185.0,46.0,46.25,0.25,completed,0.011850064391425502,6,0.05,0,0.6335719227790833
169.0,semi_sickled,318,319.0,79.5,79.75,0.25,completed,0.007908550503392084,6,0.05,0,0.7274079322814941
170.0,final_sickled,387,388.0,96.75,97.0,0.25,completed,0.024483657044280942,6,0.05,0,0.5093469619750977
171.0,semi_sickled,252,253.0,63.0,63.25,0.25,completed,0.012379424029495566,6,0.05,0,0.7238272428512573
173.0,semi_sickled,259,260.0,64.75,65.0,0.25,completed,0.016788731182168705,6,0.05,0,0.6809583902359009
174.0,final_sickled,114,119.0,28.5,29.75,1.25,completed,0.015195434130437205,6,0.05,0,0.9147475957870483
176.0,semi_sickled,422,423.0,105.5,105.75,0.25,completed,0.01590270970724911,6,0.05,0,0.502086877822876
177.0,semi_sickled,317,318.0,79.25,79.5,0.25,completed,0.010160655618043772,6,0.05,0,0.7785280346870422
178.0,semi_sickled,200,206.0,50.0,51.5,1.5,completed,0.0289419327523898,6,0.05,0,0.6099510192871094
180.0,semi_sickled,374,375.0,93.5,93.75,0.25,completed,0.013771694083698096,6,0.05,0,0.9200824499130249
181.0,final_sickled,308,309.0,77.0,77.25,0.25,completed,0.013932731317860698,6,0.05,0,0.6361933350563049
182.0,final_sickled,138,139.0,34.5,34.75,0.25,completed,0.013975080766249448,6,0.05,0,0.8371025323867798
183.0,final_sickled,224,225.0,56.0,56.25,0.25,completed,0.025086231008754113,6,0.05,0,0.7966273427009583
185.0,final_sickled,132,139.0,33.0,34.75,1.75,completed,0.03245890356314097,6,0.05,0,0.6416479349136353
186.0,semi_sickled,233,234.0,58.25,58.5,0.25,completed,0.010343285468115937,6,0.05,0,0.6296340227127075
191.0,semi_sickled,272,273.0,68.0,68.25,0.25,completed,0.009725384691652532,6,0.05,0,0.8229513168334961
192.0,semi_sickled,248,257.0,62.0,64.25,2.25,completed,0.034139037857884046,6,0.05,0,0.6619600057601929
193.0,final_sickled,172,174.0,43.0,43.5,0.5,completed,0.03083536108357033,6,0.05,0,0.6667460203170776
194.0,final_sickled,218,219.0,54.5,54.75,0.25,completed,0.017273219923178356,6,0.05,0,0.794246256351471
195.0,semi_sickled,251,261.0,62.75,65.25,2.5,completed,0.03317601018594966,6,0.05,0,0.6493344306945801
196.0,final_sickled,156,157.0,39.0,39.25,0.25,completed,0.006181281441240571,6,0.05,0,0.9655376672744751
197.0,semi_sickled,255,256.0,63.75,64.0,0.25,completed,0.015779944201737332,6,0.05,0,0.7765957117080688
200.0,semi_sickled,223,224.0,55.75,56.0,0.25,completed,0.014422274241708994,6,0.05,0,0.7901817560195923
201.0,semi_sickled,194,195.0,48.5,48.75,0.25,completed,0.012358674285739349,6,0.05,0,0.846731960773468
203.0,semi_sickled,283,284.0,70.75,71.0,0.25,completed,0.018200349558416446,6,0.05,0,0.7131668329238892
204.0,final_sickled,156,157.0,39.0,39.25,0.25,completed,0.019456310376214484,6,0.05,0,0.8288347125053406
205.0,final_sickled,473,474.0,118.25,118.5,0.25,completed,0.012044336964027026,6,0.05,0,0.6937110424041748
206.0,final_sickled,165,166.0,41.25,41.5,0.25,completed,0.012309202663648952,6,0.05,0,0.912697970867157
207.0,semi_sickled,240,241.0,60.0,60.25,0.25,completed,0.0191572639256871,6,0.05,0,0.7628083229064941
209.0,final_sickled,222,223.0,55.5,55.75,0.25,completed,0.011217842534339675,6,0.05,0,0.5102180242538452
211.0,final_sickled,117,118.0,29.25,29.5,0.25,completed,0.014227836604792779,6,0.05,0,0.8040479421615601
213.0,final_sickled,239,240.0,59.75,60.0,0.25,completed,0.016210182588353442,6,0.05,0,0.6553744077682495
214.0,semi_sickled,296,297.0,74.0,74.25,0.25,completed,0.011165413040725979,6,0.05,0,0.582654595375061
215.0,semi_sickled,399,400.0,99.75,100.0,0.25,completed,0.035565595642159074,6,0.05,0,0.7546163201332092
217.0,semi_sickled,209,213.0,52.25,53.25,1.0,completed,0.02239208608839868,6,0.05,0,0.7893654108047485
219.0,semi_sickled,288,289.0,72.0,72.25,0.25,completed,0.009258784519786586,6,0.05,0,0.5062597990036011
222.0,final_sickled,98,99.0,24.5,24.75,0.25,completed,0.011328566618127901,6,0.05,0,0.9581697583198547
223.0,final_sickled,107,119.0,26.75,29.75,3.0,completed,0.07268237961025285,6,0.05,0,0.9184331893920898
224.0,final_sickled,182,183.0,45.5,45.75,0.25,completed,0.013107873836027769,6,0.05,0,0.820360004901886
225.0,final_sickled,86,87.0,21.5,21.75,0.25,completed,0.011814155923881723,6,0.05,0,0.9470199346542358
226.0,semi_sickled,303,304.0,75.75,76.0,0.25,completed,0.01631303146520319,6,0.05,0,0.7821587324142456
228.0,final_sickled,107,108.0,26.75,27.0,0.25,completed,0.008784524325164966,6,0.05,0,0.9535752534866333
229.0,final_sickled,228,231.0,57.0,57.75,0.75,completed,0.029611458751787723,6,0.05,0,0.526208221912384
230.0,final_sickled,150,161.0,37.5,40.25,2.75,completed,0.04494262943062495,6,0.05,0,0.6273988485336304
231.0,semi_sickled,386,389.0,96.5,97.25,0.75,completed,0.026283084128954217,6,0.05,0,0.7919285893440247
233.0,semi_sickled,214,221.0,53.5,55.25,1.75,completed,0.03323235593901094,6,0.05,0,0.5338221788406372
234.0,semi_sickled,121,125.0,30.25,31.25,1.0,completed,0.028848211824596445,6,0.05,0,0.6120396852493286
236.0,final_sickled,239,240.0,59.75,60.0,0.25,completed,0.024335507884582813,6,0.05,0,0.6494994163513184
237.0,final_sickled,168,169.0,42.0,42.25,0.25,completed,0.011303397950784227,6,0.05,0,0.5659328699111938
238.0,semi_sickled,246,250.0,61.5,62.5,1.0,completed,0.020268046914034676,6,0.05,0,0.9090739488601685
