FrameIndex,Frame,Class_0,Class_0_pos,Class_0_total,Class_1,Class_1_pos,Class_1_total,Class_2,Class_2_pos,Class_2_total,Class_3,Class_3_pos,Class_3_total,Class_4,Class_4_pos,Class_4_total,Class_5,Class_5_pos,Class_5_total,Class_6,Class_6_pos,Class_6_total
71,142,0.0641025641025641,365,390,0.04137931034482756,278,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.32499999999999996,54,80
72,144,0.06666666666666665,364,390,0.0482758620689655,276,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.3375,53,80
73,146,0.07435897435897432,361,390,0.0482758620689655,276,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.3375,53,80
74,148,0.07948717948717954,359,390,0.051724137931034475,275,290,0.05343511450381677,124,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.36250000000000004,51,80
75,150,0.08205128205128209,358,390,0.051724137931034475,275,290,0.05343511450381677,124,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.36250000000000004,51,80
76,152,0.08205128205128209,358,390,0.051724137931034475,275,290,0.06106870229007633,123,131,0.2272727272727273,17,22,0.09999999999999998,9,10,0.0,28,28,0.38749999999999996,49,80
77,154,0.09230769230769231,354,390,0.05517241379310345,274,290,0.06106870229007633,123,131,0.2272727272727273,17,22,0.09999999999999998,9,10,0.0,28,28,0.38749999999999996,49,80
78,156,0.09743589743589742,352,390,0.05862068965517242,273,290,0.06870229007633588,122,131,0.2272727272727273,17,22,0.09999999999999998,9,10,0.0,28,28,0.4,48,80
79,158,0.10769230769230764,348,390,0.06896551724137934,270,290,0.07633587786259544,121,131,0.2272727272727273,17,22,0.09999999999999998,9,10,0.0,28,28,0.4,48,80
80,160,0.11282051282051286,346,390,0.07586206896551728,268,290,0.08396946564885499,120,131,0.31818181818181823,15,22,0.09999999999999998,9,10,0.0,28,28,0.4,48,80
81,162,0.11538461538461542,345,390,0.07931034482758625,267,290,0.08396946564885499,120,131,0.31818181818181823,15,22,0.09999999999999998,9,10,0.0,28,28,0.4,48,80
82,164,0.12051282051282053,343,390,0.07931034482758625,267,290,0.09160305343511455,119,131,0.31818181818181823,15,22,0.09999999999999998,9,10,0.0,28,28,0.4,48,80
83,166,0.1282051282051282,340,390,0.08620689655172409,265,290,0.09160305343511455,119,131,0.31818181818181823,15,22,0.09999999999999998,9,10,0.0,28,28,0.4125,47,80
84,168,0.1282051282051282,340,390,0.08965517241379306,264,290,0.0992366412213741,118,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0,28,28,0.4375,45,80
85,170,0.13076923076923075,339,390,0.096551724137931,262,290,0.10687022900763354,117,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0,28,28,0.4375,45,80
86,172,0.13589743589743586,337,390,0.096551724137931,262,290,0.10687022900763354,117,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0,28,28,0.44999999999999996,44,80
87,174,0.14102564102564108,335,390,0.10344827586206895,260,290,0.12213740458015265,115,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.44999999999999996,44,80
88,176,0.1461538461538462,333,390,0.11379310344827587,257,290,0.13740458015267176,113,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.44999999999999996,44,80
89,178,0.1461538461538462,333,390,0.12068965517241381,255,290,0.15267175572519087,111,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.44999999999999996,44,80
90,180,0.1512820512820513,331,390,0.12758620689655176,253,290,0.17557251908396942,108,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.44999999999999996,44,80
91,182,0.16666666666666663,325,390,0.1344827586206897,251,290,0.18320610687022898,107,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.4625,43,80
92,184,0.17179487179487174,323,390,0.14137931034482754,249,290,0.1984732824427481,105,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.4625,43,80
93,186,0.1743589743589744,322,390,0.1448275862068965,248,290,0.20610687022900764,104,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.4625,43,80
94,188,0.17692307692307696,321,390,0.16551724137931034,242,290,0.20610687022900764,104,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.4625,43,80
95,190,0.18205128205128207,319,390,0.17931034482758623,238,290,0.20610687022900764,104,131,0.36363636363636365,14,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.475,42,80
96,192,0.18461538461538463,318,390,0.18620689655172418,236,290,0.22137404580152675,102,131,0.40909090909090906,13,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.48750000000000004,41,80
97,194,0.18717948717948718,317,390,0.18965517241379315,235,290,0.2290076335877863,101,131,0.40909090909090906,13,22,0.09999999999999998,9,10,0.0714285714285714,26,28,0.5,40,80
